count,mean,std,min,25%,50%,75%,max,Type,Date
333.0,992.4744744744745,501.92539836233016,256.0,484.0,1076.0,1469.0,1744.0,Buy,12/30/18 01:24
2726.0,22517.372340425532,442186.8364915749,1978.0,3092.25,4588.0,10220.75,22220000.0,Sell,12/30/18 01:24
333.0,992.4744744744745,501.92539836233016,256.0,484.0,1076.0,1469.0,1744.0,Buy,12/30/18 01:25
2726.0,22517.372340425532,442186.8364915749,1978.0,3092.25,4588.0,10220.75,22220000.0,Sell,12/30/18 01:25
333.0,992.4744744744745,501.92539836233016,256.0,484.0,1076.0,1469.0,1744.0,Buy,12/30/18 01:26
2725.0,22514.496880733946,442267.89778369793,1978.0,3093.0,4589.0,10221.0,22220000.0,Sell,12/30/18 01:26
333.0,992.4744744744745,501.92539836233016,256.0,484.0,1076.0,1469.0,1744.0,Buy,12/30/18 01:27
2725.0,22514.496880733946,442267.89778369793,1978.0,3093.0,4589.0,10221.0,22220000.0,Sell,12/30/18 01:27
333.0,992.4744744744745,501.92539836233016,256.0,484.0,1076.0,1469.0,1744.0,Buy,12/30/18 01:28
2724.0,22511.587004405286,442349.00263432186,1978.0,3093.75,4590.0,10222.0,22220000.0,Sell,12/30/18 01:28
333.0,992.4744744744745,501.92539836233016,256.0,484.0,1076.0,1469.0,1744.0,Buy,12/30/18 01:29
2724.0,22511.587004405286,442349.00263432186,1978.0,3093.75,4590.0,10222.0,22220000.0,Sell,12/30/18 01:29
333.0,992.4744744744745,501.92539836233016,256.0,484.0,1076.0,1469.0,1744.0,Buy,12/30/18 01:30
2724.0,22511.800660792953,442348.99393188785,1978.0,3093.75,4591.5,10222.0,22220000.0,Sell,12/30/18 01:30
