count,mean,std,min,25%,50%,75%,max,Type,Date
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:13
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:13
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:13
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:13
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:14
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:14
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:14
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:14
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:14
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:14
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:14
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:14
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:14
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:14
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:14
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:14
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:14
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:14
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:14
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:14
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:14
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:14
552.0,5379.623188405797,4572.671054517135,1.0,555.75,5048.0,10003.25,11800.0,Buy,12/30/18 01:14
1396.0,61556.59742120344,314030.92121155915,13796.0,18898.75,21936.5,50127.0,10000620.0,Sell,12/30/18 01:14
